year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.03331                -0.97358                        -1.00770                        -1.02715                        -1.03331                        -1.01111                        -0.98365                        -0.96413                        -0.93545                        -0.89971                        -0.87446                        -0.87053                        -1.02342                                -0.42530            
2009    -1.00941                -0.97002                        -0.99273                        -1.00459                        -1.00941                        -0.99824                        -0.98596                        -0.98282                        -0.97022                        -0.93776                        -0.89260                        -0.87894                        -1.00732                                -0.42530            
2010    -1.16094                -1.10922                        -1.14040                        -1.15710                        -1.16094                        -1.13856                        -1.10608                        -1.07396                        -1.03287                        -0.97166                        -0.90498                        -0.96089                        -1.14958                                -0.47417            
2011    -1.13286                -1.10048                        -1.12414                        -1.13286                        -1.12140                        -1.08447                        -1.04388                        -1.01064                        -0.96871                        -0.91704                        -0.87449                        -0.92994                        -1.11113                                -0.46607            
2012    -1.09863                -1.06467                        -1.08866                        -1.09863                        -1.09258                        -1.07166                        -1.04911                        -1.03926                        -1.02951                        -1.00230                        -0.95899                        -0.94085                        -1.09258                                -0.45485            
2013    -1.09892                -1.07606                        -1.09561                        -1.09892                        -1.07798                        -1.04252                        -1.01209                        -0.99387                        -0.97425                        -0.94627                        -0.90919                        -0.91626                        -1.07798                                -0.43929            
2014    -1.08657                -1.07443                        -1.08657                        -1.08406                        -1.05761                        -1.02460                        -1.00468                        -0.99987                        -0.98586                        -0.95220                        -0.91254                        -0.92293                        -1.05761                                -0.43995            
2015    -1.07156                -1.03752                        -1.06081                        -1.07149                        -1.07156                        -1.05682                        -1.04762                        -1.04570                        -1.03892                        -1.01809                        -0.98227                        -0.94511                        -1.06392                                -0.47148            
2016    -1.06753                -1.04505                        -1.06238                        -1.06753                        -1.05538                        -1.02509                        -0.99354                        -0.97122                        -0.94936                        -0.92798                        -0.90272                        -0.90964                        -1.04848                                -0.43810            
2017    -1.19199                -1.17624                        -1.19199                        -1.19158                        -1.16552                        -1.12648                        -1.09242                        -1.06621                        -1.03724                        -1.00003                        -0.95931                        -0.98768                        -1.16552                                -0.45387            
2018    -1.04845                -1.01643                        -1.03790                        -1.04845                        -1.04634                        -1.02097                        -0.98837                        -0.95849                        -0.92656                        -0.88927                        -0.84730                        -0.86678                        -1.04634                                -0.42552            
