year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2009    -0.49618                -0.37938                        -0.38316                        -0.38393                        -0.38165                        -0.38237                        -0.38359                        -0.38842                        -0.39906                        -0.41373                        -0.42915                        -0.37132                        -0.37938                                -0.19036            
2010    -0.51065                -0.51065                        -0.50935                        -0.50367                        -0.48833                        -0.47889                        -0.47911                        -0.48425                        -0.49134                        -0.50121                        -0.50978                        -0.46715                        -0.51065                                -0.24148            
2011    -0.57033                -0.44871                        -0.45462                        -0.45908                        -0.47021                        -0.48383                        -0.49807                        -0.51429                        -0.53297                        -0.55183                        -0.57033                        -0.47314                        -0.44871                                -0.23973            
2012    -0.49226                -0.37992                        -0.37467                        -0.36907                        -0.36478                        -0.36699                        -0.37433                        -0.38372                        -0.39490                        -0.41480                        -0.43263                        -0.37187                        -0.37652                                -0.19614            
2013    -0.51308                -0.47546                        -0.47666                        -0.47301                        -0.46408                        -0.45684                        -0.45231                        -0.45224                        -0.45652                        -0.47146                        -0.48578                        -0.43614                        -0.47529                                -0.24246            
2014    -0.51853                -0.43290                        -0.44009                        -0.44320                        -0.44688                        -0.45613                        -0.47316                        -0.48913                        -0.49932                        -0.50813                        -0.51853                        -0.44472                        -0.41158                                -0.23512            
2015    -0.46278                -0.34291                        -0.33766                        -0.33094                        -0.32161                        -0.32208                        -0.33370                        -0.34858                        -0.36465                        -0.38776                        -0.41277                        -0.34386                        -0.34291                                -0.17716            
2016    -0.58926                -0.39817                        -0.39185                        -0.38329                        -0.36964                        -0.36594                        -0.37000                        -0.37880                        -0.38660                        -0.39632                        -0.40596                        -0.37300                        -0.39813                                -0.20345            
2017    -0.45851                -0.36525                        -0.36711                        -0.36810                        -0.37073                        -0.37359                        -0.37785                        -0.38644                        -0.40261                        -0.42429                        -0.44440                        -0.37540                        -0.36525                                -0.19860            
2018    -0.50521                -0.37303                        -0.37970                        -0.38582                        -0.39578                        -0.40121                        -0.40363                        -0.40433                        -0.40344                        -0.40357                        -0.39934                        -0.36072                        -0.37303                                -0.19924            
