year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.12546                -1.07116                        -1.10444                        -1.12192                        -1.12546                        -1.08894                        -1.04163                        -0.99464                        -0.94694                        -0.90539                        -0.88448                        -0.90948                        -1.12374                                -0.47156            
2009    -1.06987                -1.02374                        -1.05365                        -1.06987                        -1.06412                        -1.02239                        -0.96631                        -0.91540                        -0.87351                        -0.84174                        -0.82525                        -0.86481                        -1.06412                                -0.42854            
2010    -1.16850                -1.10167                        -1.14037                        -1.16429                        -1.16850                        -1.13234                        -1.08118                        -1.03166                        -0.98463                        -0.94081                        -0.91091                        -0.94344                        -1.16850                                -0.48526            
2011    -1.15504                -1.10665                        -1.14041                        -1.15504                        -1.13949                        -1.08543                        -1.02192                        -0.96899                        -0.93179                        -0.90434                        -0.88704                        -0.91496                        -1.12813                                -0.47535            
2012    -1.06548                -1.01732                        -1.04551                        -1.06346                        -1.06548                        -1.03467                        -0.99192                        -0.95034                        -0.91584                        -0.88871                        -0.87701                        -0.88200                        -1.06168                                -0.44478            
2013    -1.11159                -1.06519                        -1.09393                        -1.10814                        -1.11159                        -1.08387                        -1.04046                        -0.99466                        -0.95371                        -0.92018                        -0.89507                        -0.91347                        -1.10256                                -0.45304            
2014    -1.19689                -1.12421                        -1.16488                        -1.18957                        -1.19689                        -1.16498                        -1.11428                        -1.05898                        -1.00553                        -0.95907                        -0.92185                        -0.95345                        -1.19569                                -0.48345            
2015    -1.20364                -1.13615                        -1.17447                        -1.19811                        -1.20364                        -1.16366                        -1.10224                        -1.04414                        -0.99222                        -0.94916                        -0.92367                        -0.96494                        -1.19374                                -0.48844            
2016    -1.08088                -1.01078                        -1.04589                        -1.06781                        -1.08088                        -1.05783                        -1.01562                        -0.97158                        -0.93636                        -0.91263                        -0.89571                        -0.89375                        -1.08088                                -0.43117            
2017    -1.17514                -1.11468                        -1.14981                        -1.16895                        -1.17514                        -1.14291                        -1.09104                        -1.03904                        -0.99486                        -0.95721                        -0.92397                        -0.94970                        -1.17514                                -0.46162            
2018    -1.12123                -1.04112                        -1.08274                        -1.10935                        -1.12123                        -1.08876                        -1.03653                        -0.98679                        -0.94020                        -0.90394                        -0.87617                        -0.89465                        -1.09910                                -0.46797            
