year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.08360                -1.00132                        -1.04236                        -1.06847                        -1.08360                        -1.06125                        -1.02588                        -0.99298                        -0.96284                        -0.93592                        -0.92187                        -0.90418                        -1.06659                                -0.43388            
2009    -0.96827                -0.92218                        -0.95261                        -0.96754                        -0.96827                        -0.94871                        -0.92475                        -0.90289                        -0.88400                        -0.86203                        -0.84103                        -0.83196                        -0.95671                                -0.39470            
2010    -1.23672                -1.11512                        -1.16705                        -1.20386                        -1.23672                        -1.22435                        -1.18693                        -1.14156                        -1.09047                        -1.02976                        -0.97409                        -1.00096                        -1.21888                                -0.48628            
2011    -1.13158                -1.06626                        -1.10476                        -1.12633                        -1.13158                        -1.10296                        -1.06121                        -1.02022                        -0.97856                        -0.94440                        -0.92190                        -0.93211                        -1.12140                                -0.46653            
2012    -1.03613                -0.98113                        -1.01426                        -1.03240                        -1.03613                        -1.01368                        -0.98198                        -0.94859                        -0.91765                        -0.89104                        -0.86590                        -0.86288                        -1.02728                                -0.42309            
2013    -1.13096                -1.07405                        -1.10878                        -1.12742                        -1.13096                        -1.10940                        -1.07808                        -1.03925                        -0.99859                        -0.96259                        -0.93404                        -0.93585                        -1.12795                                -0.43801            
2014    -1.14219                -1.04195                        -1.08520                        -1.11463                        -1.14219                        -1.13528                        -1.11314                        -1.07443                        -1.02013                        -0.96279                        -0.91498                        -0.93534                        -1.13497                                -0.44378            
2015    -1.09356                -1.00324                        -1.04732                        -1.07524                        -1.09356                        -1.07973                        -1.05486                        -1.03259                        -1.00831                        -0.97884                        -0.94075                        -0.91491                        -1.07740                                -0.45466            
2016    -1.09785                -0.99374                        -1.03766                        -1.06817                        -1.09785                        -1.09339                        -1.06836                        -1.03504                        -1.00248                        -0.97713                        -0.95058                        -0.92549                        -1.09785                                -0.44302            
2017    -1.15657                -1.08828                        -1.12337                        -1.14292                        -1.15657                        -1.14780                        -1.12471                        -1.09407                        -1.06433                        -1.03866                        -1.00549                        -0.98066                        -1.15432                                -0.46685            
2018    -1.06292                -0.97403                        -1.01195                        -1.03690                        -1.06230                        -1.06292                        -1.04351                        -1.01138                        -0.97195                        -0.93390                        -0.89599                        -0.88627                        -1.06214                                -0.43437            
