year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.09698                -1.05989                        -1.08208                        -1.09539                        -1.09698                        -1.07607                        -1.04827                        -1.02025                        -0.98227                        -0.93885                        -0.90649                        -0.91761                        -1.09698                                -0.46425            
2009    -1.09124                -1.05426                        -1.07944                        -1.09124                        -1.08778                        -1.06122                        -1.03296                        -1.00510                        -0.97158                        -0.92865                        -0.88820                        -0.91308                        -1.08778                                -0.44659            
2010    -1.17464                -1.13649                        -1.16141                        -1.17444                        -1.17464                        -1.15247                        -1.12534                        -1.10009                        -1.06854                        -1.02418                        -0.98067                        -0.99478                        -1.16768                                -0.49291            
2011    -1.15879                -1.12233                        -1.14839                        -1.15879                        -1.14712                        -1.10620                        -1.05712                        -1.01432                        -0.97339                        -0.93523                        -0.90995                        -0.94421                        -1.13693                                -0.50040            
2012    -1.10922                -1.06762                        -1.09176                        -1.10456                        -1.10922                        -1.09373                        -1.07306                        -1.05214                        -1.02363                        -0.98879                        -0.95467                        -0.94704                        -1.10160                                -0.46728            
2013    -1.09371                -1.07404                        -1.09074                        -1.09371                        -1.08144                        -1.05556                        -1.03260                        -1.01799                        -0.99863                        -0.97060                        -0.94173                        -0.93305                        -1.07212                                -0.46903            
2014    -1.19043                -1.15856                        -1.18156                        -1.19043                        -1.17585                        -1.13727                        -1.10247                        -1.07499                        -1.04922                        -1.01636                        -0.98137                        -0.98808                        -1.17046                                -0.49558            
2015    -1.23656                -1.19209                        -1.22214                        -1.23656                        -1.23016                        -1.19095                        -1.14483                        -1.10429                        -1.06816                        -1.03486                        -1.00857                        -1.02910                        -1.20682                                -0.51303            
2016    -1.10084                -1.08422                        -1.09865                        -1.10084                        -1.08370                        -1.05319                        -1.02543                        -1.00514                        -0.98905                        -0.97033                        -0.95193                        -0.94748                        -1.08348                                -0.44834            
2017    -1.23087                -1.21304                        -1.22990                        -1.23087                        -1.20736                        -1.16670                        -1.13046                        -1.09965                        -1.06440                        -1.02230                        -0.98113                        -1.01249                        -1.20736                                -0.48333            
2018    -1.13298                -1.10367                        -1.12548                        -1.13298                        -1.11976                        -1.08572                        -1.05216                        -1.02287                        -0.99123                        -0.95464                        -0.91824                        -0.93733                        -1.11976                                -0.47656            
