year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.33114                -1.25097                        -1.27121                        -1.30084                        -1.33085                        -1.33114                        -1.32197                        -1.29930                        -1.26474                        -1.23430                        -1.21622                        -1.17033                        -1.30227                                -0.61827            
2009    -1.24271                -1.15841                        -1.19836                        -1.22581                        -1.24271                        -1.21745                        -1.17024                        -1.12068                        -1.08161                        -1.06333                        -1.07078                        -1.05987                        -1.23717                                -0.56436            
2010    -1.39364                -1.39364                        -1.38506                        -1.36549                        -1.28286                        -1.17142                        -1.07604                        -1.00966                        -0.99440                        -0.98860                        -0.99556                        -1.06006                        -1.08419                                -0.56988            
2011    -1.46393                -1.46231                        -1.46393                        -1.44626                        -1.40735                        -1.35646                        -1.31404                        -1.28866                        -1.26955                        -1.24434                        -1.22256                        -1.21933                        -1.39482                                -0.62774            
2012    -1.28400                -1.17883                        -1.22392                        -1.25624                        -1.28400                        -1.27606                        -1.25401                        -1.23063                        -1.20599                        -1.17711                        -1.15394                        -1.11340                        -1.26316                                -0.58915            
2013    -1.31027                -1.24689                        -1.26486                        -1.28046                        -1.31027                        -1.28594                        -1.24249                        -1.20524                        -1.17272                        -1.14689                        -1.12693                        -1.12113                        -1.31027                                -0.59511            
2014    -1.41687                -1.34021                        -1.36679                        -1.39799                        -1.41686                        -1.37596                        -1.31254                        -1.27534                        -1.23987                        -1.20012                        -1.17619                        -1.17702                        -1.36850                                -0.61894            
2015    -1.52200                -1.36799                        -1.41938                        -1.46225                        -1.51970                        -1.52200                        -1.48624                        -1.43199                        -1.36780                        -1.31249                        -1.29913                        -1.27745                        -1.48046                                -0.64716            
2016    -1.30249                -1.29196                        -1.30249                        -1.30194                        -1.28122                        -1.22759                        -1.19484                        -1.17691                        -1.16465                        -1.16171                        -1.17121                        -1.13593                        -1.22032                                -0.59748            
2017    -1.31861                -1.26906                        -1.26864                        -1.29274                        -1.31861                        -1.30849                        -1.27536                        -1.23402                        -1.19490                        -1.16116                        -1.13746                        -1.13598                        -1.31519                                -0.60450            
2018    -1.26899                -1.15696                        -1.20402                        -1.23790                        -1.26899                        -1.25730                        -1.22739                        -1.19795                        -1.17648                        -1.17380                        -1.17903                        -1.09883                        -1.26635                                -0.56734            
