year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -1.41501                -1.26945                        -1.29713                        -1.32843                        -1.37542                        -1.40244                        -1.41501                        -1.40674                        -1.36582                        -1.30856                        -1.26450                        -1.21102                        -1.39509                                -0.62072            
2009    -1.33171                -1.20449                        -1.24669                        -1.27881                        -1.31859                        -1.33171                        -1.33115                        -1.31898                        -1.28370                        -1.22965                        -1.18467                        -1.14807                        -1.32691                                -0.57609            
2010    -1.38164                -1.37087                        -1.38164                        -1.37089                        -1.31428                        -1.23052                        -1.16574                        -1.16013                        -1.14875                        -1.12721                        -1.11955                        -1.12774                        -1.14050                                -0.58728            
2011    -1.47816                -1.43529                        -1.46541                        -1.47578                        -1.47816                        -1.47812                        -1.46369                        -1.44141                        -1.40241                        -1.35386                        -1.32384                        -1.28845                        -1.47484                                -0.65492            
2012    -1.40564                -1.23800                        -1.28815                        -1.32613                        -1.37508                        -1.39823                        -1.40564                        -1.39511                        -1.35775                        -1.30260                        -1.25422                        -1.19998                        -1.39344                                -0.60410            
2013    -1.36895                -1.30086                        -1.33222                        -1.35249                        -1.36895                        -1.34841                        -1.30711                        -1.30077                        -1.29090                        -1.26938                        -1.24973                        -1.20003                        -1.31403                                -0.61716            
2014    -1.55778                -1.47315                        -1.51153                        -1.53611                        -1.55778                        -1.52864                        -1.47399                        -1.44360                        -1.41149                        -1.37364                        -1.34944                        -1.31404                        -1.44969                                -0.65547            
2015    -1.70329                -1.52280                        -1.58959                        -1.64200                        -1.70329                        -1.70227                        -1.65405                        -1.58237                        -1.50010                        -1.43997                        -1.43452                        -1.41973                        -1.60553                                -0.67971            
2016    -1.41230                -1.40087                        -1.41230                        -1.40852                        -1.35524                        -1.26598                        -1.22041                        -1.22516                        -1.22049                        -1.21042                        -1.21333                        -1.19242                        -1.22889                                -0.59942            
2017    -1.41560                -1.40058                        -1.41560                        -1.41292                        -1.40488                        -1.38759                        -1.36748                        -1.34400                        -1.30809                        -1.26356                        -1.22914                        -1.21969                        -1.38374                                -0.61892            
2018    -1.29848                -1.23114                        -1.26510                        -1.28560                        -1.29848                        -1.28933                        -1.27797                        -1.26413                        -1.23865                        -1.21272                        -1.19753                        -1.13974                        -1.28345                                -0.57211            
