year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
2008    -2.79206                -2.28530                        -2.42945                        -2.57453                        -2.75646                        -2.79206                        -2.73991                        -2.66115                        -2.56636                        -2.46790                        -2.44114                        -2.27750                        -2.79148                                -0.95803            
2009    -2.66470                -2.23967                        -2.36942                        -2.49131                        -2.64480                        -2.66470                        -2.58365                        -2.46715                        -2.36219                        -2.27751                        -2.24034                        -2.16205                        -2.66317                                -0.94778            
2010    -2.64980                -2.21914                        -2.34743                        -2.44499                        -2.60301                        -2.64980                        -2.59438                        -2.49802                        -2.39317                        -2.32183                        -2.31992                        -2.17757                        -2.63622                                -1.00694            
2011    -2.69549                -2.30527                        -2.42734                        -2.54054                        -2.68620                        -2.69549                        -2.62459                        -2.54423                        -2.48552                        -2.44401                        -2.42963                        -2.25006                        -2.69549                                -0.96293            
2012    -2.57864                -2.13633                        -2.25564                        -2.38024                        -2.55137                        -2.57864                        -2.51235                        -2.42271                        -2.33897                        -2.28872                        -2.32104                        -2.13615                        -2.57864                                -0.92644            
2013    -2.36321                -2.00249                        -2.11701                        -2.20209                        -2.33541                        -2.36321                        -2.29528                        -2.19817                        -2.12100                        -2.06877                        -2.06098                        -1.96265                        -2.34920                                -0.93597            
2014    -2.81130                -2.30061                        -2.43005                        -2.56987                        -2.77483                        -2.81130                        -2.72140                        -2.59757                        -2.49650                        -2.42706                        -2.40172                        -2.27491                        -2.79858                                -0.99346            
2015    -2.82278                -2.33983                        -2.48810                        -2.62059                        -2.79392                        -2.82278                        -2.74687                        -2.63604                        -2.52118                        -2.39668                        -2.32719                        -2.28049                        -2.82278                                -0.98851            
2016    -2.33638                -1.97577                        -2.08886                        -2.17204                        -2.31276                        -2.33638                        -2.26949                        -2.17551                        -2.09189                        -2.03556                        -2.04510                        -1.93653                        -2.32033                                -0.90272            
2017    -2.68755                -2.29488                        -2.42238                        -2.52470                        -2.65521                        -2.68755                        -2.62081                        -2.52586                        -2.43354                        -2.34068                        -2.26654                        -2.18535                        -2.67142                                -0.97540            
2018    -2.88764                -2.29623                        -2.47923                        -2.64818                        -2.85842                        -2.88764                        -2.78810                        -2.64062                        -2.51584                        -2.42637                        -2.40439                        -2.31387                        -2.84137                                -1.02127            
