year    psi^min     psi^min(800 hPa)        psi^min(775 hPa)        psi^min(750 hPa)        psi^min(700 hPa)        psi^min(650 hPa)        psi^min(600 hPa)        psi^min(550 hPa)        psi^min(500 hPa)        psi^min(450 hPa)        psi^min(400 hPa)        <psi^min>_p             psi(phi^min, p^min)     psi_SHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^SHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1997    1.08687     1.08745                 1.08944                 1.09033                 1.08766                 1.08181                 1.07172                 1.06070                 1.05339                 1.05335                 1.06723                 1.07928                 1.06198                 1.09147         1.19464                 1.25394                 1.23405                 1.16283                 1.19574                 1.20048                 1.12136         1.02408                 1.00000                 0.99855                 0.97478                 0.96864         
1998    1.09142     1.11152                 1.10135                 1.09489                 1.09391                 1.09865                 1.10427                 1.10948                 1.11389                 1.11458                 1.11215                 1.10587                 1.07661                 1.02048         0.80844                 0.87693                 0.98654                 0.74549                 0.81991                 0.73184                 0.83327         0.92264                 1.12372                 1.11440                 1.11616                 1.10768         
1999    0.97547     0.96524                 0.97388                 0.97857                 0.97981                 0.97728                 0.97632                 0.97584                 0.97837                 0.98957                 1.00265                 0.96895                 0.98329                 1.00777         0.98815                 0.88090                 1.09620                 1.02052                 0.98639                 1.05780                 1.12701         1.05978                 1.08205                 1.07616                 1.03776                 1.03896         
2000    0.87801     0.88066                 0.88128                 0.88080                 0.88024                 0.88161                 0.88409                 0.89262                 0.90788                 0.92662                 0.94853                 0.89688                 0.88400                 0.93703         0.96472                 0.88560                 1.06735                 1.07090                 0.99969                 1.09169                 1.11118         0.98903                 0.97482                 0.97437                 0.98906                 1.00832         
2001    0.97112     0.98631                 0.98021                 0.97421                 0.96301                 0.95923                 0.95844                 0.95508                 0.95489                 0.96172                 0.97421                 0.97225                 0.96913                 0.97349         0.98232                 0.89646                 1.04659                 1.09399                 1.03520                 1.09610                 1.09884         1.05344                 1.00532                 1.00483                 0.98765                 0.99370         
2002    1.13072     1.08647                 1.10044                 1.11445                 1.13621                 1.14729                 1.15367                 1.15681                 1.15797                 1.15739                 1.15801                 1.12446                 1.13602                 1.11114         1.04610                 1.11781                 1.22107                 1.22347                 1.24421                 1.30401                 1.26081         1.05617                 0.91378                 0.92249                 0.98436                 0.99840         
2003    1.06462     1.04971                 1.05720                 1.06256                 1.06979                 1.07625                 1.08304                 1.08690                 1.08982                 1.09134                 1.09538                 1.07323                 1.07050                 1.08091         1.11273                 1.15817                 1.23068                 1.19820                 1.15692                 1.20850                 1.16284         1.06481                 0.97199                 0.97058                 0.97416                 0.98013         
2004    1.01573     1.02450                 1.02106                 1.01896                 1.01509                 1.01825                 1.02353                 1.02692                 1.03167                 1.03573                 1.03746                 1.02578                 1.02235                 1.02501         0.95578                 1.05217                 1.14533                 1.06732                 1.05535                 1.04243                 1.08211         1.06193                 1.02740                 1.02879                 1.00814                 1.02115         
2005    1.04094     1.04357                 1.04515                 1.04425                 1.04012                 1.03915                 1.04366                 1.05123                 1.05663                 1.05580                 1.06147                 1.04560                 1.04067                 1.03807         0.89455                 1.11241                 1.18337                 1.09184                 1.06958                 1.07972                 1.14539         1.06329                 0.94760                 0.95772                 0.96535                 0.96214         
2006    1.04861     1.05783                 1.05678                 1.05195                 1.03709                 1.02622                 1.02433                 1.02990                 1.03528                 1.03703                 1.03792                 1.03630                 1.04313                 1.07523         0.96957                 1.06497                 1.16403                 1.12307                 1.15553                 1.18414                 1.19099         1.08932                 1.04541                 1.04081                 1.03366                 1.05073         
2007    0.98856     0.99606                 0.99406                 0.99170                 0.98797                 0.98553                 0.98312                 0.98101                 0.97891                 0.97502                 0.97785                 0.98376                 0.98885                 1.00731         0.88633                 0.89014                 1.09758                 0.96795                 0.93025                 0.90894                 1.03434         1.03635                 0.96628                 0.96670                 1.04542                 1.05626         
2008    1.00918     1.00820                 1.00942                 1.00920                 1.01409                 1.01600                 1.02047                 1.02304                 1.01874                 1.01179                 1.01633                 1.01036                 1.01977                 1.04374         0.89497                 1.01533                 1.25517                 1.09545                 1.15461                 1.15201                 1.19316         1.04663                 1.04127                 1.04093                 1.02275                 1.02057         
2009    0.95933     0.96356                 0.96299                 0.96238                 0.95881                 0.95391                 0.94668                 0.94154                 0.93975                 0.94065                 0.94827                 0.96073                 0.96567                 0.94853         1.07011                 1.00919                 1.06105                 1.05503                 1.02337                 1.01581                 1.05080         0.96964                 0.91246                 0.91658                 0.96368                 0.96707         
2010    1.04778     1.03691                 1.04226                 1.04732                 1.05287                 1.05649                 1.05922                 1.06112                 1.05929                 1.05136                 1.04671                 1.04809                 1.06040                 1.07407         0.87209                 1.02946                 1.09604                 1.05217                 0.97922                 0.97417                 1.14340         1.12212                 1.01426                 1.01415                 1.02178                 1.03610         
2011    1.03570     1.04159                 1.04230                 1.03900                 1.02673                 1.01272                 1.00116                 0.99666                 1.00245                 1.01061                 1.01928                 1.01644                 1.02376                 1.05213         1.02257                 1.05641                 1.18823                 1.11634                 1.10010                 1.13295                 1.21668         1.11709                 0.99759                 1.00133                 1.02636                 1.04549         
2012    0.95540     0.95751                 0.95556                 0.95662                 0.96004                 0.96536                 0.97177                 0.97747                 0.98528                 0.99314                 1.00774                 0.97983                 0.96346                 0.98446         0.80720                 0.94349                 1.19335                 0.95869                 0.95465                 0.98692                 1.07473         1.00076                 0.94910                 0.95296                 0.97336                 0.99179         
2013    0.99675     1.00258                 0.99981                 0.99681                 1.00159                 1.01127                 1.01933                 1.02306                 1.02602                 1.02831                 1.02850                 1.01479                 1.00055                 1.00276         0.98962                 0.96373                 1.06274                 0.90342                 0.85690                 0.92319                 1.04192         1.02521                 0.99800                 1.00554                 0.98098                 0.99796         
2014    1.07323     1.05813                 1.06466                 1.07006                 1.07844                 1.08695                 1.09165                 1.08922                 1.08177                 1.07177                 1.05927                 1.05920                 1.08507                 1.07006         1.00521                 1.04398                 1.13593                 1.25955                 1.21383                 1.18298                 1.18570         1.08642                 1.00729                 1.01202                 0.99979                 1.01390         
2015    1.07929     1.06936                 1.07342                 1.07774                 1.08453                 1.08572                 1.07985                 1.07395                 1.06746                 1.06070                 1.06136                 1.07196                 1.08330                 1.08110         1.10264                 1.09933                 1.17984                 1.12021                 1.23169                 1.18926                 1.10514         1.05958                 1.10846                 1.10265                 1.08122                 1.08033         
2016    0.96921     0.95136                 0.95591                 0.96053                 0.97391                 0.98697                 0.99499                 0.99933                 1.00736                 1.01988                 1.02924                 0.99288                 0.98088                 0.95434         0.88402                 0.91013                 1.02854                 0.92792                 0.83059                 0.80308                 0.83637         0.95287                 1.07093                 1.06760                 1.03587                 1.03186         
2017    1.05373     1.04915                 1.05088                 1.05152                 1.05885                 1.06635                 1.06887                 1.06871                 1.07030                 1.06970                 1.06171                 1.05503                 1.06642                 1.02175         0.86898                 1.04878                 1.04506                 0.93469                 0.89757                 0.88320                 0.97542         1.04238                 1.02494                 1.02366                 1.05495                 1.05917         
2018    1.00539     0.97992                 0.98958                 0.99790                 1.01027                 1.01584                 1.01547                 1.01497                 1.01149                 1.01017                 1.00678                 0.99388                 0.99742                 1.03581         0.97042                 1.04308                 1.16114                 1.14048                 1.09424                 1.07729                 1.04204         1.06056                 1.03134                 1.03561                 1.03832                 1.04195         
