year    psi^min     psi^min(800 hPa)        psi^min(775 hPa)        psi^min(750 hPa)        psi^min(700 hPa)        psi^min(650 hPa)        psi^min(600 hPa)        psi^min(550 hPa)        psi^min(500 hPa)        psi^min(450 hPa)        psi^min(400 hPa)        <psi^min>_p             psi(phi^min, p^min)     psi_SHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^SHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1997    0.99112     1.00563                 1.00258                 0.99759                 0.98246                 0.96444                 0.94673                 0.93403                 0.92715                 0.92624                 0.92997                 0.96898                 0.97570                 0.99740         1.06154                 1.09967                 0.90433                 1.08737                 1.06529                 1.02335                 0.97810         0.98352                 0.97097                 0.97052                 0.94890                 0.93696         
1998    0.99103     1.02787                 1.01085                 0.99641                 0.97229                 0.95688                 0.95112                 0.95209                 0.95302                 0.94588                 0.93238                 0.97195                 0.95221                 0.92371         0.75510                 0.73273                 0.70053                 0.73547                 0.80837                 0.69312                 0.69860         0.90884                 1.11136                 1.10142                 1.06983                 1.07201         
1999    0.96296     0.95069                 0.95723                 0.96192                 0.96705                 0.96770                 0.96817                 0.96936                 0.96729                 0.96277                 0.95697                 0.94728                 0.97157                 0.95583         0.98053                 0.77394                 0.88200                 0.93856                 0.92920                 0.89558                 0.89663         1.01716                 1.07535                 1.07001                 1.02456                 1.02424         
2000    0.88297     0.87970                 0.88056                 0.88214                 0.88672                 0.89046                 0.89819                 0.91025                 0.92021                 0.92614                 0.92476                 0.89244                 0.88625                 0.90603         0.92195                 0.65703                 0.85336                 0.99079                 0.99183                 0.94821                 1.02209         0.97691                 0.96321                 0.96192                 0.97263                 0.97762         
2001    0.94248     0.94287                 0.94368                 0.94486                 0.94648                 0.94620                 0.94487                 0.94308                 0.94071                 0.93948                 0.94010                 0.93203                 0.94783                 0.92097         0.84018                 0.66759                 0.89781                 0.96189                 0.95393                 0.96322                 0.99194         1.02334                 0.99983                 0.99970                 0.98561                 0.99583         
2002    1.00484     0.97929                 0.98732                 0.99418                 1.00911                 1.02491                 1.03903                 1.04655                 1.04853                 1.04190                 1.02796                 1.00734                 1.01382                 1.02823         0.84675                 1.06337                 1.04928                 1.02548                 1.04200                 1.04865                 0.99214         1.01402                 0.92150                 0.92856                 0.97483                 0.96804         
2003    0.96676     0.97207                 0.97339                 0.97306                 0.97033                 0.96782                 0.96866                 0.97274                 0.97605                 0.97534                 0.96820                 0.96009                 0.97486                 0.97149         0.80738                 1.02858                 1.03846                 0.96853                 0.94340                 1.00279                 0.96229         1.03446                 0.97821                 0.97471                 0.96765                 0.97083         
2004    0.94299     0.96663                 0.95834                 0.94914                 0.93339                 0.92597                 0.92833                 0.93554                 0.93931                 0.94063                 0.94279                 0.94156                 0.93775                 0.92281         0.73327                 1.17475                 1.11116                 0.91463                 0.92591                 0.98521                 1.02450         1.03334                 1.02526                 1.02929                 0.99670                 0.99232         
2005    0.97937     0.99473                 0.99137                 0.98575                 0.97005                 0.95658                 0.94906                 0.94713                 0.94320                 0.93776                 0.93973                 0.95690                 0.97326                 0.94949         0.66495                 1.18559                 1.26984                 0.88265                 0.92402                 1.02586                 1.13459         1.04587                 0.97097                 0.97945                 0.92785                 0.93227         
2006    0.99666     1.01342                 1.00922                 1.00316                 0.98994                 0.97751                 0.97211                 0.96768                 0.96363                 0.95091                 0.93827                 0.97160                 0.99456                 1.00761         0.77359                 1.12444                 1.16965                 0.99448                 1.04981                 1.12669                 1.16059         1.08463                 1.07008                 1.06858                 1.04734                 1.04373         
2007    0.93852     0.95313                 0.94807                 0.94464                 0.94163                 0.94329                 0.94458                 0.94140                 0.93288                 0.91912                 0.91724                 0.93866                 0.94383                 0.97872         0.77765                 1.07397                 1.24506                 0.87179                 0.88493                 0.91959                 0.98540         0.99947                 0.98112                 0.98441                 1.04626                 1.05571         
2008    0.96192     0.97147                 0.96782                 0.96678                 0.96600                 0.96657                 0.96519                 0.95981                 0.94646                 0.93379                 0.93699                 0.95568                 0.97051                 0.99402         0.79767                 1.19146                 1.43971                 0.99223                 1.03703                 1.09511                 1.09939         1.01398                 1.07162                 1.07180                 1.03614                 1.03962         
2009    0.95688     0.96632                 0.96546                 0.96312                 0.95789                 0.95324                 0.95110                 0.94556                 0.93617                 0.92365                 0.91808                 0.95097                 0.96237                 0.95620         0.91856                 1.19663                 1.20610                 1.02487                 1.08636                 1.11859                 1.02729         0.96996                 0.92965                 0.93452                 0.95792                 0.95265         
2010    1.03001     1.04168                 1.03878                 1.03655                 1.03438                 1.03520                 1.03616                 1.03493                 1.02959                 1.01866                 1.01366                 1.03605                 1.03306                 1.05538         0.85479                 1.25381                 1.25801                 0.94464                 0.98305                 1.06569                 1.10324         1.09341                 1.05187                 1.05103                 1.05157                 1.05622         
2011    1.01612     1.02870                 1.02714                 1.02274                 1.01015                 0.99364                 0.97334                 0.95424                 0.93791                 0.93019                 0.94057                 0.98338                 1.00585                 1.07143         0.97296                 1.31851                 1.40273                 1.09177                 1.14383                 1.25873                 1.22854         1.10642                 1.03437                 1.03684                 1.06723                 1.07083         
2012    0.97265     0.97856                 0.97648                 0.97488                 0.97678                 0.98243                 0.98802                 0.98982                 0.98631                 0.98346                 0.98679                 0.98633                 0.97459                 1.00051         0.91785                 1.15455                 1.41985                 1.06785                 1.08322                 1.13986                 1.03467         1.00373                 0.97824                 0.98144                 1.03073                 1.03235         
2013    0.95905     0.98444                 0.97557                 0.96531                 0.95231                 0.94815                 0.95077                 0.95769                 0.96223                 0.96537                 0.97342                 0.97176                 0.94851                 1.00425         0.89848                 1.13573                 1.22190                 0.92734                 0.93058                 1.03590                 1.01908         1.01575                 1.02306                 1.02585                 1.02011                 1.01276         
2014    1.04386     1.06191                 1.05681                 1.05067                 1.03545                 1.02154                 1.01510                 1.01131                 1.01097                 1.01088                 1.01439                 1.02907                 1.03551                 1.06110         0.90624                 1.27196                 1.40052                 1.12980                 1.18658                 1.33584                 1.26012         1.10525                 1.03431                 1.04069                 1.02496                 1.02868         
2015    1.08431     1.09264                 1.09309                 1.09138                 1.08328                 1.06976                 1.05410                 1.03887                 1.02923                 1.02928                 1.04251                 1.07180                 1.06768                 1.09847         1.06948                 1.41399                 1.39271                 1.12340                 1.24858                 1.36549                 1.16801         1.08189                 1.13133                 1.12563                 1.07635                 1.07920         
2016    0.96530     0.99378                 0.98265                 0.97159                 0.95430                 0.94602                 0.94416                 0.94560                 0.95300                 0.96510                 0.98396                 0.98679                 0.95857                 0.95995         0.75336                 1.10627                 1.21030                 0.75125                 0.79128                 0.91966                 0.88965         0.98037                 1.10876                 1.10631                 1.03768                 1.03267         
2017    1.07932     1.11185                 1.10004                 1.08636                 1.06319                 1.04798                 1.04087                 1.03452                 1.02560                 1.01679                 1.01414                 1.05450                 1.06816                 1.03487         0.83017                 1.22916                 1.09593                 0.83409                 0.88811                 1.07105                 1.03984         1.06669                 1.05646                 1.05537                 1.06329                 1.07250         
2018    0.99348     1.01160                 1.00665                 0.99996                 0.98606                 0.97524                 0.96877                 0.96228                 0.95509                 0.94950                 0.94913                 0.97622                 0.99066                 1.02037         0.90198                 1.10837                 1.12596                 0.96398                 1.03759                 1.20379                 1.10778         1.07331                 1.08706                 1.08941                 1.05535                 1.07363         
