year    psi^max     psi^max(800 hPa)        psi^max(775 hPa)        psi^max(750 hPa)        psi^max(700 hPa)        psi^max(650 hPa)        psi^max(600 hPa)        psi^max(550 hPa)        psi^max(500 hPa)        psi^max(450 hPa)        psi^max(400 hPa)        <psi^max>_p             psi(phi^max, p^max)     psi_NHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^NHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1997    1.11057     1.10252                 1.10813                 1.11546                 1.12698                 1.13248                 1.12985                 1.11965                 1.11201                 1.11396                 1.12800                 1.11705                 1.11686                 1.06654         1.19464                 1.25394                 1.23405                 1.16283                 1.19574                 1.20048                 1.12136         1.07820                 1.00000                 0.99855                 0.97478                 0.96864         
1998    1.07465     1.09981                 1.10026                 1.09986                 1.09512                 1.08241                 1.06057                 1.04178                 1.03457                 1.03915                 1.05791                 1.06542                 1.05088                 0.97916         0.80844                 0.87693                 0.98654                 0.74549                 0.81991                 0.73184                 0.83327         1.07250                 1.12372                 1.11440                 1.11616                 1.10768         
1999    1.01350     1.01548                 1.01919                 1.02412                 1.03280                 1.02789                 1.01460                 0.99674                 0.97887                 0.96094                 0.94575                 0.98564                 1.03519                 1.00104         0.98815                 0.88090                 1.09620                 1.02052                 0.98639                 1.05780                 1.12701         1.00050                 1.08205                 1.07616                 1.03776                 1.03896         
2000    1.12200     1.13399                 1.13879                 1.14199                 1.14336                 1.13698                 1.12200                 1.10586                 1.09686                 1.09260                 1.08697                 1.10886                 1.15019                 1.07165         0.96472                 0.88560                 1.06735                 1.07090                 0.99969                 1.09169                 1.11118         1.11162                 0.97482                 0.97437                 0.98906                 1.00832         
2001    1.08538     1.08013                 1.09109                 1.09992                 1.10605                 1.09102                 1.06269                 1.03471                 1.01325                 0.99660                 0.98677                 1.03021                 1.11141                 1.05523         0.98232                 0.89646                 1.04659                 1.09399                 1.03520                 1.09610                 1.09884         1.05151                 1.00532                 1.00483                 0.98765                 0.99370         
2002    1.19569     1.21371                 1.21780                 1.22020                 1.21846                 1.20343                 1.17998                 1.15977                 1.14608                 1.13338                 1.12113                 1.15589                 1.22007                 1.15313         1.04610                 1.11781                 1.22107                 1.22347                 1.24421                 1.30401                 1.26081         1.13178                 0.91378                 0.92249                 0.98436                 0.99840         
2003    1.04954     1.06155                 1.06634                 1.06950                 1.06952                 1.06722                 1.06433                 1.05975                 1.05666                 1.05251                 1.04680                 1.04613                 1.07613                 1.06713         1.11273                 1.15817                 1.23068                 1.19820                 1.15692                 1.20850                 1.16284         1.01677                 0.97199                 0.97058                 0.97416                 0.98013         
2004    1.08727     1.10543                 1.10878                 1.10966                 1.10798                 1.10208                 1.08973                 1.07383                 1.05974                 1.04726                 1.04003                 1.06449                 1.10242                 1.09534         0.95578                 1.05217                 1.14533                 1.06732                 1.05535                 1.04243                 1.08211         1.03198                 1.02740                 1.02879                 1.00814                 1.02115         
2005    0.98197     1.00811                 1.00955                 1.00794                 1.00067                 0.99845                 0.99367                 0.98490                 0.97360                 0.96116                 0.95319                 0.97116                 1.00830                 0.98654         0.89455                 1.11241                 1.18337                 1.09184                 1.06958                 1.07972                 1.14539         0.94731                 0.94760                 0.95772                 0.96535                 0.96214         
2006    1.04548     1.06227                 1.06548                 1.06695                 1.06538                 1.05950                 1.04931                 1.03646                 1.02576                 1.01845                 1.00810                 1.03044                 1.06779                 1.05766         0.96957                 1.06497                 1.16403                 1.12307                 1.15553                 1.18414                 1.19099         1.03738                 1.04541                 1.04081                 1.03366                 1.05073         
2007    1.04727     1.06399                 1.06838                 1.07043                 1.06721                 1.05944                 1.04962                 1.04065                 1.03730                 1.03305                 1.02334                 1.03345                 1.07535                 1.06075         0.88633                 0.89014                 1.09758                 0.96795                 0.93025                 0.90894                 1.03434         1.03450                 0.96628                 0.96670                 1.04542                 1.05626         
2008    1.02086     1.03728                 1.03922                 1.03848                 1.03843                 1.04100                 1.03995                 1.03500                 1.03579                 1.04127                 1.04710                 1.03154                 1.04634                 1.05373         0.89497                 1.01533                 1.25517                 1.09545                 1.15461                 1.15201                 1.19316         1.06322                 1.04127                 1.04093                 1.02275                 1.02057         
2009    1.04924     1.05846                 1.06438                 1.06801                 1.06922                 1.06656                 1.06362                 1.06308                 1.06165                 1.05932                 1.05396                 1.05374                 1.07738                 1.07856         1.07011                 1.00919                 1.06105                 1.05503                 1.02337                 1.01581                 1.05080         1.02623                 0.91246                 0.91658                 0.96368                 0.96707         
2010    0.94387     0.99115                 0.98578                 0.97774                 0.96185                 0.94624                 0.93851                 0.93502                 0.93697                 0.93689                 0.93195                 0.94801                 0.96918                 0.98080         0.87209                 1.02946                 1.09604                 1.05217                 0.97922                 0.97417                 1.14340         0.89399                 1.01426                 1.01415                 1.02178                 1.03610         
2011    1.04383     1.09301                 1.08949                 1.08204                 1.06371                 1.04847                 1.03966                 1.03104                 1.02130                 1.01083                 1.00128                 1.03138                 1.06701                 1.08485         1.02257                 1.05641                 1.18823                 1.11634                 1.10010                 1.13295                 1.21668         1.02502                 0.99759                 1.00133                 1.02636                 1.04549         
2012    0.94564     0.97706                 0.97504                 0.97249                 0.96365                 0.95069                 0.94371                 0.94808                 0.95333                 0.95520                 0.96048                 0.95461                 0.96606                 0.98681         0.80720                 0.94349                 1.19335                 0.95869                 0.95465                 0.98692                 1.07473         0.97720                 0.94910                 0.95296                 0.97336                 0.99179         
2013    0.98823     1.03972                 1.03429                 1.02630                 1.00705                 0.99251                 0.98310                 0.97870                 0.97627                 0.97394                 0.97532                 0.99309                 1.01473                 1.04311         0.98962                 0.96373                 1.06274                 0.90342                 0.85690                 0.92319                 1.04192         1.02746                 0.99800                 1.00554                 0.98098                 0.99796         
2014    1.02874     1.00132                 1.00617                 1.00965                 1.01345                 1.01497                 1.02234                 1.02747                 1.03256                 1.03953                 1.05250                 1.02508                 1.02117                 1.07713         1.00521                 1.04398                 1.13593                 1.25955                 1.21383                 1.18298                 1.18570         0.99315                 1.00729                 1.01202                 0.99979                 1.01390         
2015    1.05961     1.09982                 1.09525                 1.08973                 1.07978                 1.07297                 1.06588                 1.06369                 1.06111                 1.05201                 1.03635                 1.05790                 1.08802                 1.07705         1.10264                 1.09933                 1.17984                 1.12021                 1.23169                 1.18926                 1.10514         1.08000                 1.10846                 1.10265                 1.08122                 1.08033         
2016    0.94339     0.95110                 0.95023                 0.94876                 0.95036                 0.95344                 0.96567                 0.97948                 0.98399                 0.97885                 0.96363                 0.95528                 0.95761                 0.97979         0.88402                 0.91013                 1.02854                 0.92792                 0.83059                 0.80308                 0.83637         0.96937                 1.07093                 1.06760                 1.03587                 1.03186         
2017    0.93938     0.92601                 0.91998                 0.91219                 0.89832                 0.89331                 0.89939                 0.91582                 0.93134                 0.94258                 0.95923                 0.93156                 0.90436                 0.95881         0.86898                 1.04878                 1.04506                 0.93469                 0.89757                 0.88320                 0.97542         0.94706                 1.02494                 1.02366                 1.05495                 1.05917         
2018    0.96415     0.92898                 0.92677                 0.92424                 0.92072                 0.92954                 0.94816                 0.96886                 0.98241                 0.99502                 0.99936                 0.96449                 0.91770                 1.01451         0.97042                 1.04308                 1.16114                 1.14048                 1.09424                 1.07729                 1.04204         0.92130                 1.03134                 1.03561                 1.03832                 1.04195         
