year    psi^max     psi^max(800 hPa)        psi^max(775 hPa)        psi^max(750 hPa)        psi^max(700 hPa)        psi^max(650 hPa)        psi^max(600 hPa)        psi^max(550 hPa)        psi^max(500 hPa)        psi^max(450 hPa)        psi^max(400 hPa)        <psi^max>_p             psi(phi^max, p^max)     psi_NHC         Phi^max(150 hPa)        Phi^max(200 hPa)        Phi^max(250 hPa)        omega^min(400 hPa)      omega^min(500 hPa)      omega^min(600 hPa)      omega^min       v_E^NHC(1000-850 hPa)   I_M (all m)             I_M^MRG (all m)         I_M (m >= 7)            I_M (m >= 9)    
1997    0.91963     0.88590                 0.86559                 0.86298                 0.87200                 0.88586                 0.90456                 0.92451                 0.94091                 0.95293                 0.96263                 0.92694                 0.90512                 0.91434         1.06154                 1.09967                 0.90433                 1.08737                 1.06529                 1.02335                 0.97810         0.99347                 0.97097                 0.97052                 0.94890                 0.93696         
1998    0.86093     0.85348                 0.84275                 0.83325                 0.82274                 0.82317                 0.83565                 0.85964                 0.88085                 0.88865                 0.87852                 0.85747                 0.83742                 0.83148         0.75510                 0.73273                 0.70053                 0.73547                 0.80837                 0.69312                 0.69860         0.95951                 1.11136                 1.10142                 1.06983                 1.07201         
1999    0.89241     0.91610                 0.90827                 0.89584                 0.87642                 0.88153                 0.89018                 0.90167                 0.90835                 0.90560                 0.89328                 0.89011                 0.88980                 0.89676         0.98053                 0.77394                 0.88200                 0.93856                 0.92920                 0.89558                 0.89663         0.89733                 1.07535                 1.07001                 1.02456                 1.02424         
2000    1.01530     0.97834                 0.99460                 1.00766                 1.02199                 1.02527                 1.02376                 1.01907                 1.00852                 0.99404                 0.97761                 0.98359                 1.02636                 0.98494         0.92195                 0.65703                 0.85336                 0.99079                 0.99183                 0.94821                 1.02209         1.04377                 0.96321                 0.96192                 0.97263                 0.97762         
2001    0.93327     0.93724                 0.93262                 0.94213                 0.94987                 0.94730                 0.93971                 0.92885                 0.91334                 0.89397                 0.87573                 0.90211                 0.94210                 0.92327         0.84018                 0.66759                 0.89781                 0.96189                 0.95393                 0.96322                 0.99194         0.99410                 0.99983                 0.99970                 0.98561                 0.99583         
2002    1.04042     1.03923                 1.04280                 1.04559                 1.04737                 1.04843                 1.04909                 1.04922                 1.04683                 1.03822                 1.02543                 1.02467                 1.05176                 1.00555         0.84675                 1.06337                 1.04928                 1.02548                 1.04200                 1.04865                 0.99214         1.03664                 0.92150                 0.92856                 0.97483                 0.96804         
2003    0.90614     0.93975                 0.93571                 0.93487                 0.92923                 0.91975                 0.90965                 0.90099                 0.89597                 0.89069                 0.88506                 0.90750                 0.91196                 0.91119         0.80738                 1.02858                 1.03846                 0.96853                 0.94340                 1.00279                 0.96229         0.97549                 0.97821                 0.97471                 0.96765                 0.97083         
2004    0.94930     1.01615                 1.01113                 1.00433                 0.98499                 0.96253                 0.94303                 0.92401                 0.91100                 0.91136                 0.92860                 0.96024                 0.94542                 0.98459         0.73327                 1.17475                 1.11116                 0.91463                 0.92591                 0.98521                 1.02450         1.02389                 1.02526                 1.02929                 0.99670                 0.99232         
2005    0.93642     0.98824                 0.98932                 0.98656                 0.97163                 0.94878                 0.92417                 0.90377                 0.88904                 0.88315                 0.89238                 0.92593                 0.92652                 0.94083         0.66495                 1.18559                 1.26984                 0.88265                 0.92402                 1.02586                 1.13459         0.95878                 0.97097                 0.97945                 0.92785                 0.93227         
2006    1.03744     1.07834                 1.08390                 1.08483                 1.07383                 1.05303                 1.02813                 1.00512                 0.98791                 0.97517                 0.96955                 1.02088                 1.03074                 1.02750         0.77359                 1.12444                 1.16965                 0.99448                 1.04981                 1.12669                 1.16059         1.03922                 1.07008                 1.06858                 1.04734                 1.04373         
2007    1.03530     1.06426                 1.06776                 1.06831                 1.06180                 1.05085                 1.03419                 1.01373                 0.99742                 0.98530                 0.98149                 1.01851                 1.03682                 1.00021         0.77765                 1.07397                 1.24506                 0.87179                 0.88493                 0.91959                 0.98540         1.02689                 0.98112                 0.98441                 1.04626                 1.05571         
2008    1.04893     1.05680                 1.06433                 1.06832                 1.06797                 1.06469                 1.05464                 1.03759                 1.02268                 1.01673                 1.02684                 1.04212                 1.05731                 1.03023         0.79767                 1.19146                 1.43971                 0.99223                 1.03703                 1.09511                 1.09939         1.05598                 1.07162                 1.07180                 1.03614                 1.03962         
2009    1.11887     1.09744                 1.10883                 1.11764                 1.12720                 1.13017                 1.12819                 1.12181                 1.11979                 1.11829                 1.11550                 1.11286                 1.13106                 1.10397         0.91856                 1.19663                 1.20610                 1.02487                 1.08636                 1.11859                 1.02729         1.03467                 0.92965                 0.93452                 0.95792                 0.95265         
2010    0.95798     0.96955                 0.97339                 0.97569                 0.97524                 0.97238                 0.96362                 0.95143                 0.94487                 0.94323                 0.94595                 0.96141                 0.96607                 0.99087         0.85479                 1.25381                 1.25801                 0.94464                 0.98305                 1.06569                 1.10324         0.89157                 1.05187                 1.05103                 1.05157                 1.05622         
2011    1.07493     1.11509                 1.09819                 1.08931                 1.08724                 1.08609                 1.08389                 1.07899                 1.07550                 1.07365                 1.07361                 1.08804                 1.08366                 1.07806         0.97296                 1.31851                 1.40273                 1.09177                 1.14383                 1.25873                 1.22854         1.01037                 1.03437                 1.03684                 1.06723                 1.07083         
2012    1.09657     1.01706                 1.03212                 1.04638                 1.06899                 1.08465                 1.09551                 1.10794                 1.12059                 1.13135                 1.14297                 1.09455                 1.09690                 1.06152         0.91785                 1.15455                 1.41985                 1.06785                 1.08322                 1.13986                 1.03467         0.98924                 0.97824                 0.98144                 1.03073                 1.03235         
2013    1.02077     1.05505                 1.05889                 1.05791                 1.04750                 1.03611                 1.02694                 1.01607                 1.00927                 1.00987                 1.02399                 1.03781                 1.02955                 1.01431         0.89848                 1.13573                 1.22190                 0.92734                 0.93058                 1.03590                 1.01908         1.00661                 1.02306                 1.02585                 1.02011                 1.01276         
2014    1.04539     1.03808                 1.04869                 1.05542                 1.06089                 1.06019                 1.05410                 1.04861                 1.04845                 1.05873                 1.08344                 1.07008                 1.05678                 1.06809         0.90624                 1.27196                 1.40052                 1.12980                 1.18658                 1.33584                 1.26012         1.01027                 1.03431                 1.04069                 1.02496                 1.02868         
2015    1.13844     1.15578                 1.16313                 1.16591                 1.16432                 1.15555                 1.13895                 1.12140                 1.10914                 1.10422                 1.11074                 1.13495                 1.14185                 1.10949         1.06948                 1.41399                 1.39271                 1.12340                 1.24858                 1.36549                 1.16801         1.08813                 1.13133                 1.12563                 1.07635                 1.07920         
2016    1.01133     1.03455                 1.03940                 1.04098                 1.03623                 1.02652                 1.01343                 0.99424                 0.97558                 0.96295                 0.96107                 0.99797                 1.01601                 0.99127         0.75336                 1.10627                 1.21030                 0.75125                 0.79128                 0.91966                 0.88965         0.99534                 1.10876                 1.10631                 1.03768                 1.03267         
2017    0.98616     1.01958                 1.02189                 1.02092                 1.01280                 1.00098                 0.98596                 0.97380                 0.96366                 0.95949                 0.96598                 1.00051                 0.98797                 0.99343         0.83017                 1.22916                 1.09593                 0.83409                 0.88811                 1.07105                 1.03984         0.99229                 1.05646                 1.05537                 1.06329                 1.07250         
2018    1.05371     1.10807                 1.09740                 1.08128                 1.07706                 1.06954                 1.05727                 1.04248                 1.02868                 1.01673                 1.00892                 1.04868                 1.05585                 1.04776         0.90198                 1.10837                 1.12596                 0.96398                 1.03759                 1.20379                 1.10778         0.97093                 1.08706                 1.08941                 1.05535                 1.07363         
